cluster,centroid_lat,centroid_lon
0,46.51865340607851,6.625569980555664
1,46.518914300000006,6.623855324999999
2,46.51880988056157,6.624091886997235
3,46.518481637003084,6.624972059646914
4,46.51912255714286,6.625461914285714
5,46.51887180914285,6.626905104967252
6,46.51867265845238,6.627537024761904
7,46.51840552424174,6.628385371200176
8,46.51828322338935,6.628865262021475
9,46.51931324361472,6.623064823349568
10,46.51917744822742,6.622533470854465
11,46.519013337238555,6.621560362756647
12,46.51941328580586,6.621611164346764
13,46.51906262609731,6.620576874363354
14,46.520265997833334,6.6230470845
15,46.520391787538834,6.624373473268758
16,46.520754289186506,6.624372532043651
17,46.52065530974207,6.62696208296627
18,46.51983083250104,6.628583783553252
19,46.51986947878968,6.628047931964887
20,46.51999654623932,6.627588658931625
21,46.51931927013888,6.628337563194445
22,46.518951093812994,6.628082702745364
23,46.5191247121312,6.631508132014942
24,46.51879438089894,6.631401417155181
25,46.51823905313871,6.633436830146334
26,46.51782834186613,6.635440839536074
27,46.517687157368414,6.636502765238094
28,46.51703269596706,6.6369288554154835
29,46.517521446826095,6.6379041730035935
30,46.517504938194875,6.637179770943321
31,46.51858254559139,6.632818314772443
32,46.51805797248142,6.631634505724757
33,46.5181592245317,6.630988935892095
34,46.51778386361379,6.63043522214987
35,46.51814399506209,6.630486896977985
36,46.51788429889174,6.629257350282358
37,46.5182735170202,6.6367356930447325
38,46.51763781754595,6.638845147833809
39,46.51734316225604,6.639364758782468
40,46.51705188427658,6.642313022841976
41,46.51721744268275,6.6430082932673225
42,46.51690492010489,6.643722942723387
43,46.516755445826526,6.644177075624662
44,46.51576427715034,6.6445462102534485
45,46.51566829761816,6.643706600517409
46,46.5160129154255,6.642628103476616
47,46.516581394990205,6.641315765404838
48,46.51695339520711,6.640418870278869
49,46.51865294013187,6.63989156903622
50,46.51802096573999,6.6377486089004405
51,46.51984765293997,6.632682600473854
52,46.52225134160038,6.632211609942416
53,46.52143953856151,6.6321057077919505
54,46.52749097562592,6.61527979197413
55,46.52774778545099,6.614424169090662
56,46.52792734583829,6.614120181314484
57,46.52812659182598,6.613727312418068
58,46.52825986117364,6.613071043696189
59,46.52860671846726,6.612229080751488
60,46.52870087613045,6.611716648300987
61,46.52886222811963,6.611109128285695
62,46.52793471474868,6.612734811481483
63,46.528352186324575,6.61202191649212
64,46.5289483688988,6.6105658951388895
65,46.528617080229075,6.609687795342711
66,46.528337002619054,6.610490822216118
67,46.52815039246935,6.610945584827255
68,46.52796727577381,6.611356140178572
69,46.52772242347071,6.611737317654522
70,46.52727107132395,6.612740870927129
71,46.53287080477239,6.63105995117129
72,46.53228840113881,6.632126904082853
73,46.53273183006809,6.6332108867274515
74,46.5329141984127,6.6333889600595235
75,46.53353000082141,6.633434597483813
76,46.53417611052083,6.633395813020833
77,46.5347000039579,6.6333499235168505
78,46.53526161403109,6.633360260330689
79,46.53558014042705,6.63262088253076
80,46.53560911363637,6.6322237253246765
81,46.535131900272106,6.631779611394557
82,46.53456085495237,6.631781728873017
83,46.534149795773814,6.631830031091271
84,46.53350056199203,6.632555079065303
85,46.532770265079364,6.632760204861111
86,46.53440839029726,6.632561909273809
87,46.53628906575968,6.6325028832586375
88,46.536772386492714,6.632524669013256
89,46.537087454247654,6.6334180375157725
90,46.538018951854355,6.633824454094172
91,46.538567597275225,6.633772181566749
92,46.540637277948264,6.6333445349934275
93,46.54171298945272,6.6330121794550445
94,46.540103558912044,6.633426566881615
95,46.53933055928571,6.633451401428572
96,46.53976546350978,6.633047651733371
97,46.54045836924526,6.632417248597839
98,46.540731833015876,6.632099614623015
99,46.54098138229269,6.631314300811836
100,46.540406802740925,6.631583628274489
101,46.53991743187984,6.631523168798584
102,46.539480498733205,6.631526041161703
103,46.53897760405612,6.631643437693071
104,46.539075362178295,6.630508757607284
105,46.538463198809524,6.631937097503308
106,46.53795173508634,6.632092508210361
107,46.53764595992063,6.633751261706348
108,46.53656053915856,6.6334774252878725
109,46.536341650000004,6.633380933333333
110,46.53581721517557,6.633282783596683
111,46.52283636469449,6.6093429275349616
112,46.52200072739435,6.61078992519555
113,46.52162028393991,6.6119752985700115
114,46.52142157485781,6.612422926518494
115,46.52119734939228,6.6131119133970655
116,46.52096109076322,6.614129711253127
117,46.52097909481482,6.614734716105499
118,46.52098247468005,6.6151999883779755
119,46.52093394988697,6.615598183517316
120,46.521248145356125,6.641701962471511
121,46.52112049027778,6.644150862499999
122,46.520850624999994,6.644484
123,46.520929225,6.644713725
124,46.52107195,6.6449816375
125,46.521508094770944,6.645103996811433
126,46.52145180871604,6.645936144817838
