cluster,centroid_lat,centroid_lon
0,46.52774678358135,6.653115197916667
1,46.52810561481481,6.654503336481481
2,46.52980959305555,6.656495555555555
3,46.52778996682508,6.597919596041035
4,46.53080985,6.65863105
5,46.531963091666675,6.659738741666666
6,46.53273767575758,6.660401168181818
7,46.53202263694445,6.65871152875
8,46.531554449999994,6.657209425
9,46.530858900000005,6.659773025
10,46.53063145729166,6.660118928125001
11,46.528595877777775,6.662320502777778
12,46.528450107142866,6.661414178571429
13,46.52842490227273,6.661108203030303
14,46.52841989,6.660071790000001
15,46.52795274861111,6.6585326125
16,46.52770864120001,6.6578048916
17,46.5263121,6.657615989999999
18,46.52538403055555,6.6566802874999995
19,46.52439167499999,6.658589326086957
20,46.52409565,6.657659483333333
21,46.523889518541665,6.656995317708333
22,46.52380922708333,6.656420483333333
23,46.523908739666666,6.655678629666666
24,46.52349219848485,6.655756526515151
25,46.52395215909091,6.654968481818182
26,46.52254316250001,6.657791945
27,46.52318395,6.6592472124999995
28,46.524092100000004,6.660945774999999
29,46.524164468611104,6.661519328194445
30,46.525505475,6.661230649999999
31,46.52551531666667,6.660913608333333
32,46.524866854545444,6.656794322727273
33,46.525849921428566,6.6562190785714295
34,46.5275373447619,6.655527011746032
35,46.52823037678571,6.655317440476191
36,46.52912281458333,6.656431966666666
37,46.52896444807691,6.65700374775641
38,46.5283594,6.6573848600000005
39,46.52660908749999,6.656315870833333
40,46.52622795166667,6.654222971666667
41,46.52625291942784,6.652952585551318
42,46.526058881527774,6.652333050694445
43,46.526123390833334,6.651821427499999
44,46.52869030033334,6.653064127333335
45,46.52971974807693,6.652556115384614
46,46.5306657610119,6.651329716815477
47,46.53293071,6.648752929999999
48,46.524952422569434,6.652519605902778
49,46.5248333792358,6.652915354744847
50,46.52426841605556,6.65238071738889
51,46.5241158060606,6.651795787878789
52,46.52431334629629,6.651210544444444
53,46.5227883076389,6.656493102083332
54,46.521943645,6.658566488333332
55,46.520586681944444,6.658002096296297
56,46.519135087500004,6.6561147187500005
57,46.51901659033333,6.6556813298333335
58,46.51912513333334,6.653783627777777
59,46.5177774524359,6.652978826923077
60,46.517335121666676,6.652683464166667
61,46.523012525,6.655674225
62,46.52246900954545,6.65561353909091
63,46.522918449166674,6.654606351666667
64,46.52328061583333,6.6539560133333335
65,46.52265315882352,6.65283701764706
66,46.52188604537037,6.652761688888888
67,46.5216895189394,6.652966849242426
68,46.52181056875,6.65350631875
69,46.52072988181818,6.655654536363636
70,46.52027220625,6.6551408875
71,46.52044396481481,6.654828342592593
72,46.520628025,6.6544873749999995
73,46.52082814999999,6.65422545
74,46.52533537320862,6.652089374875284
75,46.525185279411765,6.6497131000000005
76,46.524070568,6.649619205333334
77,46.52350220448719,6.6492072248717955
78,46.521937734259254,6.647065533333333
79,46.521425121296296,6.64590705462963
80,46.52137158584548,6.644801996144901
81,46.52046404026456,6.6444152153439155
82,46.5199483125,6.6453386624999995
83,46.51970252857143,6.645746700000001
84,46.51868603214285,6.647295996428572
85,46.518032931481486,6.64693535
86,46.51778025,6.646372435185186
87,46.51760565453704,6.645990862870371
88,46.51716100238095,6.645697441269841
89,46.516836375,6.646623131249999
90,46.516783435833325,6.647045309166667
91,46.51728669333333,6.6473904925
92,46.51702963333333,6.6479152500000005
93,46.51840704666667,6.649916866666667
94,46.51815985531136,6.649634993406594
95,46.51816371666666,6.649234861111111
96,46.51879026,6.648330679999999
97,46.519104690000006,6.649076438333333
98,46.5193494,6.6493972
99,46.52102396223085,6.647461837805385
100,46.52136628145503,6.646748890185185
101,46.521781858333334,6.6491019399999995
102,46.52161805714286,6.649735878571429
103,46.5217949125,6.648586653125
104,46.521270624242426,6.64823528560606
105,46.520629321499996,6.648560092833334
106,46.52004739966666,6.650181887555557
107,46.51978342166667,6.651281903333333
108,46.51945001666667,6.651428045833332
109,46.51896323515152,6.651606091515151
110,46.517974849999995,6.652231816666667
111,46.517022819696976,6.652011333333333
112,46.51678775208333,6.652231935416666
113,46.51642522369444,6.652412702166667
114,46.51583623789683,6.652941578240741
115,46.51528875185185,6.653141462037037
116,46.51441186346154,6.653571512179487
117,46.51452650984848,6.651740673484849
118,46.51479926153846,6.652008584615384
119,46.514786367499994,6.652708413333333
120,46.51535291277778,6.649520717575757
121,46.515281908214284,6.648313617939561
122,46.51520954266667,6.647581500333333
